county,"RIFLE,7.62 MILLIMETER","RIFLE,5.56 MILLIMETER","TRUCK,CARGO","PISTOL,CALIBER .45,AUTOMATIC","REVOLVER,CALIBER .38 SPECIAL","ROBOT,EXPLOSIVE ORDNANCE DISPOSAL",TOOL KIT,"ILLUMINATOR,INFRARED",PLATOON EARLY WARNI,"SPECTACLES SET,BALL","CAMOUFLAGE NET SYSTEM,RADAR SCATTERING","HOLSTER,PISTOL",BINOCULAR,OPTICAL SIGHTING AND RANGING EQUIPMENT,"SPECTACLE KIT,INTER","SAFETY GLASSES,REVI","GOGGLES,INDUSTRIAL","IMAGE INTENSIFIER,NIGHT VISION",None,"BOOTS,COMBAT",NIGHT VISION GOGGLE,CASE SHIPPING,"GAITER,NECK","GENERATOR SET,DIESE",FIBERSCOPE,PROJECTION SCREEN,INSECT NET PROTECTO,"SHELTER HALF,TENT","LINER,WET WEATHER P","BAG,FLYER'S HELMET","GLOVES,FLYERS'","COVERALLS,COMBAT VE","JACKET,COLD WEATHER","VEST,TACTICAL LOAD","UNDERSHIRT,COLD WEA","SHIRT,COLD WEATHER","OVERALLS,COLD WEATH","ELBOW,PAD","ELBOW,PADS","GLOVES,MEN'S AND WO",PULLOVER FLEECE  POLARTEC  CO,"CASE,SMALL ARMS AMM",BAG DUFFEL,"BAG,CLOTHING",FIELD PACK,"MAT,SLEEPING","CANTEEN,WATER","MAT,SLEEPING,SELF-I",SLEEPING BAG,BIVY COVER,"POUCH,RADIO",LID,MEDIC BAG,EXTERNAL MEDICAL MO,RIFLEMAN SET,"MAGAZINE,CARTRIDGE","LAUNCHER,GRENADE","CAMOUFLAGE SCREENING SYSTEM,SNOW LIGHT WEIGHT RADAR SCATTERING",CAMOUFLAGE SCREENING SYSTEM,"LINER,COLD WEATHER","HOOD,COLD WEATHER","GOGGLES,SUN,WIND AN","BARREL,CARBINE","TRUCK,UTILITY",LIGHT ARMORED VEHICLE,MINE RESISTANT VEHICLE,"pct_RIFLE,7.62_of_total","pct_RIFLE,5.56_of_total","pct_TRUCK,CARGO_of_total"
ADAMS,0.01491049604686644067408861578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
BUFFALO,0,0.07188731910518216324995380943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.00
BURT,0.002485082674477740112348102630,0.03309841996876874149634646837,0.05623850139415929254248640953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.06
BUTLER,0.002485082674477740112348102630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
CASS,0,0.2915290102689864831797350253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3,0.00
CHASE,0,0.008643765824270400390776009149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
COLFAX,0.002485082674477740112348102630,0.01512659019247320068385801601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
DAKOTA,0,0.01797182977629554081248845236,0,0.005286203036905366738983953095,0E+2,0.1800784546723000081411668573,0E+2,0.3399607504961922257692855692,0.4490616424163145303016277920,0.01667706568720170375395346265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
DAWES,0,0.01512659019247320068385801601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
DAWSON,0.02982099209373288134817723157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
