county,"RIFLE,5.56 MILLIMETER","pct_RIFLE,5.56_of_total","RIFLE,7.62 MILLIMETER","pct_RIFLE,7.62_of_total","TRUCK,CARGO","pct_TRUCK,CARGO_of_total"
ADAMS,0,0.0,0.01491049604686644067408861578,0.0,0,0.00
BUFFALO,0.07188731910518216324995380943,0.1,0,0.0,0,0.00
BURT,0.03309841996876874149634646837,0.0,0.002485082674477740112348102630,0.0,0.05623850139415929254248640953,0.06
BUTLER,0,0.0,0.002485082674477740112348102630,0.0,0,0.00
CASS,0.2915290102689864831797350253,0.3,0,0.0,0,0.00
CHASE,0.008643765824270400390776009149,0.0,0,0.0,0,0.00
COLFAX,0.01512659019247320068385801601,0.0,0.002485082674477740112348102630,0.0,0,0.00
DAKOTA,0.01797182977629554081248845236,0.0,0,0.0,0,0.00
DAWES,0.01512659019247320068385801601,0.0,0,0.0,0,0.00
DAWSON,0,0.0,0.02982099209373288134817723157,0.0,0,0.00
DIXON,0.04492957444073885203122113089,0.0,0,0.0,0,0.00
DODGE,0,0.0,0.01739557872134418078643671841,0.0,0,0.00
DOUGLAS,0.1258028084340687856874191665,0.1,0.03976132279164384179756964209,0.0,0,0.00
FILLMORE,0.02877653705663354130095846379,0.0,0,0.0,0,0.00
GAGE,0,0.0,0.009940330697910960449392410522,0.0,0,0.00
GREELEY,0,0.0,0.007455248023433220337044307891,0.0,0,0.00
HALL,0.03594365955259108162497690471,0.0,0.01739557872134418078643671841,0.0,0,0.00
HOLT,0.008985914888147770406244226178,0.0,0.01491049604686644067408861578,0.0,0,0.00
HOWARD,0.01114685634421537050393822847,0.0,0,0.0,0,0.00
JEFFERSON,0.01797182977629554081248845236,0.0,0.004970165348955480224696205261,0.0,0,0.00
KEITH,0.02229371268843074100787645693,0.0,0.002485082674477740112348102630,0.0,0,0.00
KIMBALL,0,0.0,0,0.0,0,0.00
LANCASTER,0.02160941456067600097694002287,0.0,0,0.0,0,0.00
MADISON,0.07188731910518216324995380943,0.1,0.004970165348955480224696205261,0.0,0,0.00
MCPHERSON,0.008985914888147770406244226178,0.0,0,0.0,0,0.00
NANCE,0.01114685634421537050393822847,0.0,0.004970165348955480224696205261,0.0,0,0.00
NEMAHA,0.01797182977629554081248845236,0.0,0.002485082674477740112348102630,0.0,0,0.00
NUCKOLLS,0.01797182977629554081248845236,0.0,0,0.0,0,0.00
POLK,0.01797182977629554081248845236,0.0,0.009940330697910960449392410522,0.0,0,0.00
RED WILLOW,0,0.0,0.009940330697910960449392410522,0.0,0,0.00
SARPY,0.01296564873640560058616401372,0.0,0,0.0,0,0.00
SAUNDERS,0.008985914888147770406244226178,0.0,0,0.0,0,0.00
THURSTON,0.03594365955259108162497690471,0.0,0,0.0,0,0.00
WHEELER,0.002160941456067600097694002287,0.0,0,0.0,0,0.00
YORK,0.03127962757657851141412068311,0.0,0,0.0,0,0.00
